"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","740","Verify the total count of options in the country dropdown","chromium","Sun Apr 19 09:28:13 UTC 2026","passed","Sun Apr 19 09:28:14 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","1559","Right Click Button","chromium","Sun Apr 19 09:28:07 UTC 2026","passed","Sun Apr 19 09:28:09 UTC 2026","Button Tests","buttons.spec.ts","",""
"","588","Verify disabled input field cannot be edited by user","chromium","Sun Apr 19 09:28:44 UTC 2026","passed","Sun Apr 19 09:28:45 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","948","Verify form fields retain values after validation failure","chromium","Sun Apr 19 09:28:37 UTC 2026","passed","Sun Apr 19 09:28:38 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","848","Double Click Button","chromium","Sun Apr 19 09:28:06 UTC 2026","passed","Sun Apr 19 09:28:07 UTC 2026","Button Tests","buttons.spec.ts","",""
"","986","Get text from a simple browser alert before accepting","chromium","Sun Apr 19 09:28:00 UTC 2026","passed","Sun Apr 19 09:28:01 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","847","Multi-select: select multiple superheroes","chromium","Sun Apr 19 09:28:19 UTC 2026","passed","Sun Apr 19 09:28:19 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","730","Verify a dropdown is enabled and interactable","chromium","Sun Apr 19 09:28:12 UTC 2026","passed","Sun Apr 19 09:28:13 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","899","Dismiss a confirm dialog and verify dismissed state","chromium","Sun Apr 19 09:28:01 UTC 2026","passed","Sun Apr 19 09:28:02 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","817","Get Button Height & Width","chromium","Sun Apr 19 09:28:05 UTC 2026","passed","Sun Apr 19 09:28:06 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1101","Close an advanced dialog using the Close button","chromium","Sun Apr 19 09:28:04 UTC 2026","passed","Sun Apr 19 09:28:05 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","2119","Verify success message displays submitted name","chromium","Sun Apr 19 09:28:39 UTC 2026","passed","Sun Apr 19 09:28:41 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","2849","Click and Hold for 1.5 sec","chromium","Sun Apr 19 09:28:06 UTC 2026","passed","Sun Apr 19 09:28:09 UTC 2026","Button Tests","buttons.spec.ts","",""
"","906","Enter text in a prompt dialog and accept it","chromium","Sun Apr 19 09:28:02 UTC 2026","passed","Sun Apr 19 09:28:03 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","795","Get Button Color","chromium","Sun Apr 19 09:28:05 UTC 2026","passed","Sun Apr 19 09:28:06 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1647","Verify Fill Again button returns to empty form from success state","chromium","Sun Apr 19 09:28:38 UTC 2026","passed","Sun Apr 19 09:28:39 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1050","Verify button is clickable and triggers action","chromium","Sun Apr 19 09:28:04 UTC 2026","passed","Sun Apr 19 09:28:05 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1032","Get all available options from the programming language dropdown","chromium","Sun Apr 19 09:28:10 UTC 2026","passed","Sun Apr 19 09:28:11 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","562","Verify getAttribute returns the correct input value","chromium","Sun Apr 19 09:28:43 UTC 2026","passed","Sun Apr 19 09:28:43 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","2100","Fill all fields with valid data and submit successfully","chromium","Sun Apr 19 09:28:22 UTC 2026","passed","Sun Apr 19 09:28:24 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1023","Verify successful movie name input:","chromium","Sun Apr 19 09:28:46 UTC 2026","passed","Sun Apr 19 09:28:47 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","851","Verify password mismatch shows confirm password error","chromium","Sun Apr 19 09:28:29 UTC 2026","passed","Sun Apr 19 09:28:30 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","949","Verify country dropdown selection","chromium","Sun Apr 19 09:28:35 UTC 2026","passed","Sun Apr 19 09:28:36 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","719","Verify password minimum length validation","chromium","Sun Apr 19 09:28:29 UTC 2026","passed","Sun Apr 19 09:28:29 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","668","Verify keyboard tab triggers focus change after append","chromium","Sun Apr 19 09:28:42 UTC 2026","passed","Sun Apr 19 09:28:42 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","673","Verify multiple interest checkboxes can be selected","chromium","Sun Apr 19 09:28:36 UTC 2026","passed","Sun Apr 19 09:28:37 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1166","Select 'Apple' from fruit dropdown by visible text","chromium","Sun Apr 19 09:28:09 UTC 2026","passed","Sun Apr 19 09:28:10 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","646","Verify gender radio button selection","chromium","Sun Apr 19 09:28:34 UTC 2026","passed","Sun Apr 19 09:28:35 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","993","Verify invalid phone number format shows error","chromium","Sun Apr 19 09:28:32 UTC 2026","passed","Sun Apr 19 09:28:33 UTC 2026","Form Validations","form-validations.spec.ts","",""
